#codigo - nombre - expr. regular - longitud (fija o variable) - variable (0=no o 1=SI) - numerico (0=NO o 1=SI)
117,secndry-rsrvd6-natl,,100,1,0
118,secndry-rsrvd7-natl,,100,1,0
119,secndry-rsrvd8-natl,,100,1,0
120,secndry-rsrvd1-prvt,,150,1,0
121,secndry-rsrvd2-prvt,,150,1,0
122,secndry-rsrvd3-prvt,,150,1,0
123,secndry-rsrvd4-prvt,,455,1,0
124,secndry-rsrvd5-prvt,,684,1,0
125,secndry-rsrvd6-prvt,,680,1,0
126,secndry-rsrvd7-prvt,,680,1,0
127,secndry-rsrvd8-prvt,,200,1,0
128,secndry-mac-cde,,16,0,0
